Name,Path,Type,Size (bytes),Modification Time
launch.json,C:\Users\kroy2\Documents\python\projects\json_processor\.vscode\launch.json,File,211.0,2024-09-30 23:02:53
data,C:\Users\kroy2\Documents\python\projects\json_processor\data,Directory,,2024-10-03 07:48:32
12345.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\12345.json,File,1272.0,2024-10-01 23:43:41
67890.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\67890.json,File,1204.0,2024-10-01 23:03:08
json_test_cases.txt,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_cases.txt,File,4923.0,2024-10-02 20:40:23
json_test_files,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files,Directory,,2024-10-02 22:49:37
00001.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00001.json,File,685.0,2024-10-02 22:49:37
00002.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00002.json,File,652.0,2024-10-02 22:49:37
00003.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00003.json,File,593.0,2024-10-02 22:49:37
00004.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00004.json,File,897.0,2024-10-02 22:49:37
00005.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00005.json,File,700.0,2024-10-02 22:49:37
00006.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00006.json,File,728.0,2024-10-02 22:49:37
00007.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00007.json,File,754.0,2024-10-02 22:49:37
00008.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00008.json,File,698.0,2024-10-02 22:49:37
00009.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00009.json,File,795.0,2024-10-02 22:49:37
00010.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00010.json,File,684.0,2024-10-02 22:49:37
00011.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00011.json,File,552.0,2024-10-02 22:49:37
00012.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00012.json,File,837.0,2024-10-02 22:49:37
00013.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00013.json,File,780.0,2024-10-02 22:49:37
00014.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00014.json,File,840.0,2024-10-02 22:49:37
00015.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00015.json,File,710.0,2024-10-02 22:49:37
00016.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00016.json,File,746.0,2024-10-02 22:49:37
00017.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00017.json,File,758.0,2024-10-02 22:49:37
00018.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00018.json,File,738.0,2024-10-02 22:49:37
00019.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00019.json,File,634.0,2024-10-02 22:49:37
00020.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00020.json,File,896.0,2024-10-02 22:49:37
00021.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00021.json,File,812.0,2024-10-02 22:49:37
00022.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00022.json,File,606.0,2024-10-02 22:49:37
00023.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00023.json,File,746.0,2024-10-02 22:49:37
00024.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00024.json,File,771.0,2024-10-02 22:49:37
00025.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00025.json,File,726.0,2024-10-02 22:49:37
00026.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00026.json,File,824.0,2024-10-02 22:49:37
00027.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00027.json,File,766.0,2024-10-02 22:49:37
00028.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00028.json,File,824.0,2024-10-02 22:49:37
00029.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00029.json,File,512.0,2024-10-02 22:49:37
00030.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00030.json,File,607.0,2024-10-02 22:49:37
00031.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00031.json,File,762.0,2024-10-02 22:49:37
00032.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00032.json,File,684.0,2024-10-02 22:49:37
00033.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00033.json,File,801.0,2024-10-02 22:49:37
00034.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00034.json,File,712.0,2024-10-02 22:49:37
00035.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00035.json,File,699.0,2024-10-02 22:49:37
00036.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00036.json,File,824.0,2024-10-02 22:49:37
00037.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00037.json,File,730.0,2024-10-02 22:49:37
00038.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00038.json,File,764.0,2024-10-02 22:49:37
00039.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00039.json,File,643.0,2024-10-02 22:49:37
00040.json,C:\Users\kroy2\Documents\python\projects\json_processor\data\json_test_files\00040.json,File,798.0,2024-10-02 22:49:37
