Name,Path,Type,Size (bytes),Modification Time
json_redacter.py,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\json_redacter.py,File,3994.0,2024-10-02 23:49:11
logs,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\logs,Directory,,2024-10-02 23:59:28
json_cleaner_20241002_194307.log,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\logs\json_cleaner_20241002_194307.log,File,11720.0,2024-10-02 23:43:07
json_cleaner_20241002_194533.log,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\logs\json_cleaner_20241002_194533.log,File,4152.0,2024-10-02 23:45:33
json_cleaner_20241002_194737.log,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\logs\json_cleaner_20241002_194737.log,File,549.0,2024-10-02 23:47:37
json_cleaner_20241002_194915.log,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\logs\json_cleaner_20241002_194915.log,File,4143.0,2024-10-02 23:49:15
json_cleaner_20241002_195335.log,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\logs\json_cleaner_20241002_195335.log,File,4306.0,2024-10-02 23:53:35
json_cleaner_20241002_195714.log,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\logs\json_cleaner_20241002_195714.log,File,4392.0,2024-10-02 23:57:14
json_cleaner_20241002_195928.log,C:\Users\kroy2\Documents\python\projects\json_processor\json_redacter\logs\json_cleaner_20241002_195928.log,File,4469.0,2024-10-02 23:59:28
reports,C:\Users\kroy2\Documents\python\projects\json_processor\reports,Directory,,2024-10-02 22:52:53
20241002-185253_json_analysis_report.txt,C:\Users\kroy2\Documents\python\projects\json_processor\reports\20241002-185253_json_analysis_report.txt,File,9854.0,2024-10-02 22:52:53
group_10_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_10_dataframe.csv,File,588.0,2024-10-02 22:52:53
group_11_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_11_dataframe.csv,File,1520.0,2024-10-02 22:52:53
group_12_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_12_dataframe.csv,File,591.0,2024-10-02 22:52:53
group_13_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_13_dataframe.csv,File,502.0,2024-10-02 22:52:53
group_14_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_14_dataframe.csv,File,870.0,2024-10-02 22:52:53
group_15_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_15_dataframe.csv,File,505.0,2024-10-02 22:52:53
group_16_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_16_dataframe.csv,File,732.0,2024-10-02 22:52:53
group_17_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_17_dataframe.csv,File,1012.0,2024-10-02 22:52:53
group_18_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_18_dataframe.csv,File,517.0,2024-10-02 22:52:53
group_19_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_19_dataframe.csv,File,824.0,2024-10-02 22:52:53
group_1_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_1_dataframe.csv,File,538.0,2024-10-02 22:52:53
group_20_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_20_dataframe.csv,File,469.0,2024-10-02 22:52:53
group_21_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_21_dataframe.csv,File,503.0,2024-10-02 22:52:53
group_22_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_22_dataframe.csv,File,560.0,2024-10-02 22:52:53
group_23_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_23_dataframe.csv,File,580.0,2024-10-02 22:52:53
group_24_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_24_dataframe.csv,File,827.0,2024-10-02 22:52:53
group_25_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_25_dataframe.csv,File,549.0,2024-10-02 22:52:53
group_26_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_26_dataframe.csv,File,485.0,2024-10-02 22:52:53
group_27_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_27_dataframe.csv,File,496.0,2024-10-02 22:52:53
group_28_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_28_dataframe.csv,File,477.0,2024-10-02 22:52:53
group_29_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_29_dataframe.csv,File,459.0,2024-10-02 22:52:53
group_2_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_2_dataframe.csv,File,506.0,2024-10-02 22:52:53
group_30_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_30_dataframe.csv,File,553.0,2024-10-02 22:52:53
group_31_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_31_dataframe.csv,File,474.0,2024-10-02 22:52:53
group_32_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_32_dataframe.csv,File,507.0,2024-10-02 22:52:53
group_33_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_33_dataframe.csv,File,531.0,2024-10-02 22:52:53
group_34_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_34_dataframe.csv,File,486.0,2024-10-02 22:52:53
group_3_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_3_dataframe.csv,File,475.0,2024-10-02 22:52:53
group_4_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_4_dataframe.csv,File,889.0,2024-10-02 22:52:53
group_5_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_5_dataframe.csv,File,858.0,2024-10-02 22:52:53
group_6_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_6_dataframe.csv,File,533.0,2024-10-02 22:52:53
group_7_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_7_dataframe.csv,File,846.0,2024-10-02 22:52:53
group_8_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_8_dataframe.csv,File,1845.0,2024-10-02 22:52:53
group_9_dataframe.csv,C:\Users\kroy2\Documents\python\projects\json_processor\reports\group_9_dataframe.csv,File,555.0,2024-10-02 22:52:53
scripts,C:\Users\kroy2\Documents\python\projects\json_processor\scripts,Directory,,2024-10-03 07:55:23
app.log,C:\Users\kroy2\Documents\python\projects\json_processor\scripts\app.log,File,1844.0,2024-10-01 23:42:39
process_json.py,C:\Users\kroy2\Documents\python\projects\json_processor\scripts\process_json.py,File,5675.0,2024-10-01 23:17:28
process_json2.py,C:\Users\kroy2\Documents\python\projects\json_processor\scripts\process_json2.py,File,5875.0,2024-10-01 23:41:44
split_json_file.py,C:\Users\kroy2\Documents\python\projects\json_processor\scripts\split_json_file.py,File,1431.0,2024-10-02 20:50:18
z_Archive,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive,Directory,,2024-10-03 07:53:31
file_structure.log,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\file_structure.log,File,8483.0,2024-10-01 23:50:51
json_test_files,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files,Directory,,2024-10-02 20:50:18
test_json001.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json001.json,File,75.0,2024-10-02 20:50:18
test_json002.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json002.json,File,109.0,2024-10-02 20:50:18
test_json003.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json003.json,File,55.0,2024-10-02 20:50:18
test_json004.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json004.json,File,117.0,2024-10-02 20:50:18
test_json005.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json005.json,File,102.0,2024-10-02 20:50:18
test_json006.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json006.json,File,158.0,2024-10-02 20:50:18
test_json007.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json007.json,File,96.0,2024-10-02 20:50:18
test_json008.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json008.json,File,137.0,2024-10-02 20:50:18
test_json009.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json009.json,File,97.0,2024-10-02 20:50:18
test_json010.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json010.json,File,116.0,2024-10-02 20:50:18
test_json011.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json011.json,File,77.0,2024-10-02 20:50:18
test_json012.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json012.json,File,108.0,2024-10-02 20:50:18
test_json013.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json013.json,File,97.0,2024-10-02 20:50:18
test_json014.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json014.json,File,93.0,2024-10-02 20:50:18
test_json015.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json015.json,File,103.0,2024-10-02 20:50:18
test_json016.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json016.json,File,141.0,2024-10-02 20:50:18
test_json017.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json017.json,File,109.0,2024-10-02 20:50:18
test_json018.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json018.json,File,142.0,2024-10-02 20:50:18
test_json019.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json019.json,File,110.0,2024-10-02 20:50:18
test_json020.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json020.json,File,101.0,2024-10-02 20:50:18
test_json021.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json021.json,File,118.0,2024-10-02 20:50:18
test_json022.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json022.json,File,97.0,2024-10-02 20:50:18
test_json023.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json023.json,File,106.0,2024-10-02 20:50:18
test_json024.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json024.json,File,108.0,2024-10-02 20:50:18
test_json025.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json025.json,File,109.0,2024-10-02 20:50:18
test_json026.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json026.json,File,101.0,2024-10-02 20:50:18
test_json027.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json027.json,File,111.0,2024-10-02 20:50:18
test_json028.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json028.json,File,102.0,2024-10-02 20:50:18
test_json029.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json029.json,File,122.0,2024-10-02 20:50:18
test_json030.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json030.json,File,113.0,2024-10-02 20:50:18
test_json031.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json031.json,File,120.0,2024-10-02 20:50:18
test_json032.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json032.json,File,118.0,2024-10-02 20:50:18
test_json033.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json033.json,File,110.0,2024-10-02 20:50:18
test_json034.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json034.json,File,107.0,2024-10-02 20:50:18
test_json035.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json035.json,File,123.0,2024-10-02 20:50:18
test_json036.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json036.json,File,110.0,2024-10-02 20:50:18
test_json037.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json037.json,File,117.0,2024-10-02 20:50:18
test_json038.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json038.json,File,111.0,2024-10-02 20:50:18
test_json039.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json039.json,File,122.0,2024-10-02 20:50:18
test_json040.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json040.json,File,130.0,2024-10-02 20:50:18
test_json041.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json041.json,File,136.0,2024-10-02 20:50:18
test_json042.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json042.json,File,112.0,2024-10-02 20:50:18
test_json043.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json043.json,File,120.0,2024-10-02 20:50:18
test_json044.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json044.json,File,113.0,2024-10-02 20:50:18
test_json045.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json045.json,File,126.0,2024-10-02 20:50:18
test_json046.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json046.json,File,126.0,2024-10-02 20:50:18
test_json047.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json047.json,File,125.0,2024-10-02 20:50:18
test_json048.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json048.json,File,113.0,2024-10-02 20:50:18
test_json049.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json049.json,File,121.0,2024-10-02 20:50:18
test_json050.json,C:\Users\kroy2\Documents\python\projects\json_processor\z_Archive\json_test_files\test_json050.json,File,123.0,2024-10-02 20:50:18
json_triage,C:\Users\kroy2\Documents\python\projects\json_triage,Directory,,2024-10-03 07:49:51
json_triage.py,C:\Users\kroy2\Documents\python\projects\json_triage\json_triage.py,File,4067.0,2024-10-02 20:56:59
json_triage_to_df.py,C:\Users\kroy2\Documents\python\projects\json_triage\json_triage_to_df.py,File,5199.0,2024-10-02 21:29:51
json_triage_to_df_flat.py,C:\Users\kroy2\Documents\python\projects\json_triage\json_triage_to_df_flat.py,File,6784.0,2024-10-02 22:52:44
py_to_pdf,C:\Users\kroy2\Documents\python\projects\py_to_pdf,Directory,,2024-10-03 07:35:56
py_to_pdf.py,C:\Users\kroy2\Documents\python\projects\py_to_pdf\py_to_pdf.py,File,1863.0,2024-10-03 07:23:30
Screenshot 2024-10-01 174717.png,C:\Users\kroy2\Documents\python\Screenshot 2024-10-01 174717.png,File,186250.0,2024-10-01 21:47:26
